CFW_ID,ORG_ID,PG_ATTRIBUTE_LIB_ID,ATTRIBUTE_VALUE,ATTRIBUTE_ORDER,START_DATE,END_DATE,BLANK
"1AD-CFW","26-SSCO","ItemIdentificationPG|AlternateItemIdentification","UIC/WH1LAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","2-70-ARBN","ItemIdentificationPG|AlternateItemIdentification","UIC/WAZBAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","27-TCBN-MVTCTRL","ItemIdentificationPG|AlternateItemIdentification","UIC/WCPPAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","286-ADA-SCCO","ItemIdentificationPG|AlternateItemIdentification","UIC/WAYRAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","28-TCBN","ItemIdentificationPG|AlternateItemIdentification","UIC/WCKNAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","29-SPTGP","ItemIdentificationPG|AlternateItemIdentification","UIC/WCAYAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","2-BDE-1-AD","ItemIdentificationPG|AlternateItemIdentification","UIC/WAPGAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","30-MEDBDE","ItemIdentificationPG|AlternateItemIdentification","UIC/WBG7AA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","3-13-FABN-155","ItemIdentificationPG|AlternateItemIdentification","UIC/WG1DAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","316-POL-SUPPLYBN","ItemIdentificationPG|AlternateItemIdentification","UIC/WSRPAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","317-MAINTCO","ItemIdentificationPG|AlternateItemIdentification","UIC/WET9AA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","343-SUPPLYCO","ItemIdentificationPG|AlternateItemIdentification","UIC/WSS7AA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","372-CGO-TRANSCO","ItemIdentificationPG|AlternateItemIdentification","UIC/WFSRAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","377-HVY-TRKCO","ItemIdentificationPG|AlternateItemIdentification","UIC/WCMBAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","37-TRANSGP","ItemIdentificationPG|AlternateItemIdentification","UIC/WCJZAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","3-BDE-1-AD","ItemIdentificationPG|AlternateItemIdentification","UIC/WAHEAA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
"1AD-CFW","3-SUPCOM-HQ","ItemIdentificationPG|AlternateItemIdentification","UIC/WBG0AA",0.000000000000000000000000000000,"2000-01-01 00:00:00",\N,
